theta,a,b,A2,z,phi,status
10.0,6.9,7.2,-6.0,-1.6,90.0,NotYet
10.0,6.9,7.2,-6.0,-1.6,100.0,NotYet
10.0,6.9,7.2,-6.0,-1.6,110.0,NotYet
10.0,6.9,7.2,-6.0,-1.6,120.0,NotYet
10.0,6.9,7.2,-6.0,-1.6,130.0,NotYet
10.0,6.9,7.2,-6.0,-1.6,140.0,NotYet
10.0,6.9,7.2,-6.0,-1.6,150.0,NotYet
10.0,6.9,7.2,-6.0,-1.6,160.0,NotYet
10.0,6.9,7.2,-6.0,-1.6,170.0,NotYet
10.0,6.9,7.2,-4.0,-1.6,0.0,NotYet
10.0,6.9,7.2,-4.0,-1.6,10.0,NotYet
10.0,6.9,7.2,-4.0,-1.6,20.0,NotYet
10.0,6.9,7.2,-4.0,-1.6,30.0,NotYet
